nama;harga;lokasi;toko;rating;terjual
ACER PREDATOR TRITON PT14-51 CORE i7 13700H 16GB 1TBSSD RTX4050 WUXGA;Rp16.749.000;Jakarta Utara;Top Tech;5.0;2 terjual
Lenovo LOQ Gaming i7-13650HX RTX4050 512GB SSD 12GB 144Hz IPS Win11;Rp17.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;9 terjual
ACER Nitro V 15 ANV15 51 79Y1 RTX2050 i7 13620H 16/512GB SSD FHD 144Hz;Rp13.589.000;Jakarta Utara;Acer Authorized Store Jakarta;5.0;16 terjual
LENOVO IDEAPAD SLIM 5 14IMH9 ULTRA 5 125H 16GB 512GB W11+OHS ;Rp12.100.000;Jakarta Pusat;Lenovo Legion Official;5.0;18 terjual
Lenovo Ideapad Slim 5 16 TOUCH i7 1355U 16GB 512GB SSD W11 15.6FHD;Rp10.099.000;Jakarta Utara;Gateway Indonesia Comp;4.9;60+ terjual
LENOVO IDEAPAD SLIM 1 14 RYZEN 3 7320U RADEON 610M 8GB 512SSD W11+OHS;Rp5.449.000;Tangerang;Agres ID Tangerang;5.0;30+ terjual
ASUS ROG Zephyrus M16 GU604VI i9 13900H 64GB 2T RTX4070 8G 16QHD 240Hz;Rp31.499.000;Jakarta Utara;Top Tech;4.8;30+ terjual
Lenovo Gaming idepad L340/ Amd Ryzen 7-3700U/ 8/256/ Radeon RX Vega 10;Rp5.750.000;Jakarta Barat;dr.com komputer;5.0;3 terjual
Acer Nitro V 15 i5 13420H RTX2050 8GB 512SSD W11+OHS 15.6FHD;Rp10.649.000;Jakarta Utara;GAMER.ID;5.0;80+ terjual
LENOVO LOQ 15 GAMING RTX4050 RYZEN 5 7640HS 8GB 512SSD 165HZ 100SRGB;Rp14.999.000;Jakarta Utara;Deca Computer;5.0;2 terjual
Lenovo LOQ Gaming Ryzen 5 8645HS RTX4050 512GB SSD 8GB 144Hz IPS Win11;Rp15.699.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;8 terjual
LENOVO GAMING 3 15 RYZEN 5 5500H 8GB 512SSD RTX2050 Win11+OHS 15.6FHD;Rp9.799.000;Jakarta Utara;AGRES ID;4.9;27 terjual
